variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_1565	9.87E-01	4.17E-01	7.23E-01	8.71E-02	2.45E-01	2.87E-02	bad-chisq
scpA	9.87E-01	4.17E-01	5.91E-01	1.34E-01	2.50E-01	4.35E-02	bad-chisq
group_989	9.87E-01	1.25E-02	9.93E-02	-6.33E-01	3.82E-01	1.33E-01	bad-chisq
endA_2~~~endA~~~endA_1	9.87E-01	3.99E-01	9.32E-01	-3.48E-02	4.08E-01	6.90E-03	bad-chisq
citC	9.87E-01	4.17E-01	7.23E-01	8.71E-02	2.45E-01	2.87E-02	bad-chisq
oadA_2~~~oadA	9.87E-01	4.17E-01	7.23E-01	8.71E-02	2.45E-01	2.87E-02	bad-chisq
trmFO	9.87E-01	4.17E-01	7.23E-01	8.71E-02	2.45E-01	2.87E-02	bad-chisq
ggs	9.87E-01	1.25E-02	9.93E-02	-6.33E-01	3.82E-01	1.33E-01	bad-chisq
group_441	9.87E-01	3.99E-01	6.90E-01	-1.15E-01	2.88E-01	3.23E-02	bad-chisq
group_223	9.87E-01	1.25E-02	9.93E-02	-6.33E-01	3.82E-01	1.33E-01	bad-chisq
speC_1~~~seq_2	9.87E-01	4.17E-01	1.81E-01	4.59E-01	3.42E-01	1.08E-01	bad-chisq
group_1795	9.81E-01	7.20E-01	6.30E-01	1.94E-01	4.01E-01	3.90E-02	bad-chisq
group_1056	9.81E-01	7.20E-01	2.32E-01	3.62E-01	3.02E-01	9.66E-02	bad-chisq
group_877	9.81E-01	7.20E-01	6.30E-01	1.94E-01	4.01E-01	3.90E-02	bad-chisq
group_688	9.81E-01	8.66E-02	4.13E-01	-2.29E-01	2.80E-01	6.61E-02	bad-chisq
group_582	9.81E-01	7.20E-01	6.30E-01	1.94E-01	4.01E-01	3.90E-02	bad-chisq
licR_2~~~licR_1	9.81E-01	7.20E-01	6.30E-01	1.94E-01	4.01E-01	3.90E-02	bad-chisq
celB_2~~~chbC	9.81E-01	7.20E-01	6.30E-01	1.94E-01	4.01E-01	3.90E-02	bad-chisq
group_553	9.81E-01	7.20E-01	6.30E-01	1.94E-01	4.01E-01	3.90E-02	bad-chisq
group_513	9.81E-01	7.20E-01	6.30E-01	1.94E-01	4.01E-01	3.90E-02	bad-chisq
