variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_291-yabA-rsmI	1.94E-01	2.81E-02	9.00E-01	-2.10E-02	1.68E-01	1.01E-02	
group_801-yabA-rsmI	8.06E-01	2.81E-02	9.00E-01	2.10E-02	1.68E-01	1.01E-02	
group_270-mtnN-group_343	5.94E-01	1.82E-06	5.00E-01	-2.20E-01	3.25E-01	5.45E-02	
group_343-mtnN-group_791	4.06E-01	1.82E-06	5.00E-01	2.20E-01	3.25E-01	5.45E-02	
group_469-group_2096-group_935	2.65E-01	7.66E-04	3.12E-01	-1.66E-01	1.64E-01	8.18E-02	
group_563-group_2096-group_935	8.39E-02	2.22E-01	2.52E-01	2.18E-01	1.90E-01	9.25E-02	
group_280-whiA-group_281	4.45E-01	2.62E-02	2.92E-01	8.02E-02	7.58E-02	8.52E-02	
group_280-whiA-group_761	4.13E-01	9.24E-05	9.88E-01	1.34E-03	8.65E-02	1.25E-03	
group_544-rplS-group_867	2.58E-02	2.30E-01	1.17E-01	4.25E-01	2.70E-01	1.26E-01	bad-chisq
gph_2-rplS-group_867	9.61E-01	1.39E-01	2.44E-01	-2.56E-01	2.19E-01	9.41E-02	bad-chisq
group_1600-eno-group_2137	1.10E-01	2.74E-01	6.62E-01	9.51E-02	2.17E-01	3.54E-02	
group_1600-eno-group_200	8.84E-01	1.32E-01	3.47E-01	-1.90E-01	2.02E-01	7.61E-02	
group_739-group_2137-eno	1.10E-01	2.74E-01	6.62E-01	9.51E-02	2.17E-01	3.54E-02	
group_739-group_2137-group_1054	8.90E-01	2.74E-01	6.62E-01	-9.51E-02	2.17E-01	3.54E-02	
group_1812-rplU-capA	9.61E-01	1.39E-01	7.25E-01	-9.75E-02	2.77E-01	2.85E-02	bad-chisq
group_1812-rplU-group_1097	1.94E-02	7.20E-01	6.30E-01	-1.94E-01	4.01E-01	3.90E-02	bad-chisq
group_1812-rpmA-group_809	8.58E-01	8.33E-01	5.29E-01	1.08E-01	1.71E-01	5.09E-02	
group_1812-rpmA-group_757	1.42E-01	8.33E-01	5.29E-01	-1.08E-01	1.71E-01	5.09E-02	
rpmA-group_809-lspA	8.58E-01	8.33E-01	5.29E-01	1.08E-01	1.71E-01	5.09E-02	
lspA-group_809-group_757	1.42E-01	8.33E-01	5.29E-01	-1.08E-01	1.71E-01	5.09E-02	
group_1475-group_1380-group_254	9.48E-01	4.17E-01	5.78E-01	1.89E-01	3.40E-01	4.50E-02	bad-chisq
group_1475-group_1380-ide	5.16E-02	4.17E-01	5.78E-01	-1.89E-01	3.40E-01	4.50E-02	bad-chisq
fni-group_337-group_450	4.06E-01	1.82E-06	5.00E-01	2.20E-01	3.25E-01	5.45E-02	
group_450-group_337-group_207	4.71E-01	8.58E-06	1.42E-01	-1.28E-01	8.65E-02	1.19E-01	
group_450-group_337-group_505	3.87E-02	1.55E-01	3.46E-01	-1.37E-01	1.45E-01	7.63E-02	bad-chisq
plsY-parE-parC	9.48E-01	9.79E-02	2.42E-02	4.98E-01	2.19E-01	1.81E-01	bad-chisq
plsY-parE-group_1038	5.16E-02	9.79E-02	2.42E-02	-4.98E-01	2.19E-01	1.81E-01	bad-chisq
parE-parC-ilvE	9.48E-01	9.79E-02	2.42E-02	4.98E-01	2.19E-01	1.81E-01	bad-chisq
ilvE-parC-group_1038	5.16E-02	9.79E-02	2.42E-02	-4.98E-01	2.19E-01	1.81E-01	bad-chisq
rfbC-rfbB-mutX	2.90E-01	1.41E-02	8.24E-01	2.52E-02	1.13E-01	1.80E-02	
rfbC-rfbB-group_250	7.03E-01	1.93E-02	9.25E-01	-1.02E-02	1.08E-01	7.59E-03	
rfbB-mutX-cozEb	2.90E-01	1.41E-02	8.24E-01	2.52E-02	1.13E-01	1.80E-02	
cozEb-mutX-speH~~~seq_2	6.58E-01	1.15E-01	3.33E-01	1.10E-01	1.13E-01	7.83E-02	
cozEb-mutX-group_1276	4.52E-02	1.23E-01	2.97E-02	-4.96E-01	2.26E-01	1.75E-01	bad-chisq
group_633-group_230-sthA	9.03E-01	4.04E-01	3.93E-01	1.38E-01	1.62E-01	6.91E-02	
group_633-group_230-group_655	9.68E-02	4.04E-01	3.93E-01	-1.38E-01	1.62E-01	6.91E-02	
group_230-sthA-hysA	8.90E-01	6.19E-01	2.88E-01	1.51E-01	1.42E-01	8.59E-02	
hysA-sthA-group_655	9.03E-02	3.07E-01	7.55E-01	-4.80E-02	1.54E-01	2.52E-02	
lepA-group_1446-group_363	5.81E-02	8.69E-01	2.29E-01	-2.42E-01	2.00E-01	9.73E-02	
group_363-group_1446-group_647	9.03E-02	8.24E-07	3.86E-01	1.89E-01	2.18E-01	7.00E-02	
group_363-group_1446-cas9~~~cas9_2~~~cas9_1	8.26E-01	3.87E-06	6.94E-01	-6.77E-02	1.72E-01	3.18E-02	
group_1446-lepA-group_646	3.87E-02	6.09E-01	1.00E+00	-1.10E-04	1.97E-01	4.50E-05	bad-chisq
group_646-lepA-group_647	1.29E-01	6.84E-04	5.80E-01	8.40E-02	1.52E-01	4.47E-02	
group_646-lepA-csn2	1.29E-02	3.99E-01	8.55E-01	6.29E-02	3.44E-01	1.48E-02	bad-chisq
group_1383-group_245-uvrC	9.03E-02	2.01E-02	3.14E-01	2.83E-01	2.80E-01	8.13E-02	
uvrC-group_245-group_779	9.10E-01	2.01E-02	3.14E-01	-2.83E-01	2.80E-01	8.13E-02	
rplJ-rplL-group_412	8.77E-01	3.91E-09	7.43E-02	-3.41E-01	1.90E-01	1.44E-01	
rplJ-rplL-group_756	1.16E-01	6.82E-10	1.94E-02	4.62E-01	1.95E-01	1.88E-01	
group_1565-xerS-group_163	9.87E-01	4.17E-01	7.23E-01	8.71E-02	2.45E-01	2.87E-02	bad-chisq
group_163-xerS-group_1120	1.29E-02	4.17E-01	7.23E-01	-8.71E-02	2.45E-01	2.87E-02	bad-chisq
group_120-group_1464-group_367	7.61E-01	2.41E-03	1.53E-01	1.76E-01	1.23E-01	1.15E-01	
