sample	matching_variants	wt_variants	variants_in_scheme	variants_missing	variants_multiple_cov
23SB_106M0036_S15.fna	27	0	27	0	0
23SB_143M0036_S5.fna	0	27	27	0	0
23SC_014M0062_S3.fna	0	26	27	1	0
23SC_035M0015_S9.fna	0	23	27	4	0
23SC_083M0072_S18.fna	0	26	27	1	0
23SC_088M0045_S21.fna	0	27	27	0	0
23SC_121M0012_S12.fna	0	26	27	1	0
23SC_140M0057_S6.fna	0	27	27	0	0
23SG_024M0143_S4.fna	0	27	27	0	0
23SG_034M0106_S8.fna	0	26	27	1	0
23SG_074M0109_S16.fna	0	23	27	4	0
23SG_130M0102_S10.fna	0	27	27	0	0
23SG_145M0015_S3.fna	0	25	27	1	0
23SH_005M1638_S1.fna	0	23	27	4	0
23SH_009M1094_S2.fna	0	23	27	3	1
23SH_029M0358_S5.fna	0	23	27	4	0
23SH_030M2179_S6.fna	0	26	27	1	0
23SH_033M1095_S7.fna	0	23	27	4	0
23SH_038M1879_S10.fna	0	23	27	4	0
23SH_049M0198_S11.fna	0	23	27	4	0
23SH_050M1003_S12.fna	0	26	27	1	0
23SH_053M1623_S13.fna	0	26	27	1	0
23SH_063M0013_S15.fna	0	27	27	0	0
23SH_065M0295_S16.fna	0	26	27	0	1
23SH_066M0152_S17.fna	0	23	27	4	0
23SH_071M0020_S18.fna	0	23	27	4	0
23SH_077M0027_S17.fna	0	26	27	0	1
23SH_084M0850_S19.fna	0	27	27	0	0
23SH_089M0615_S20.fna	0	27	27	0	0
23SH_090M0134_S22.fna	0	26	27	1	0
23SH_103M0533_S19.fna	0	27	27	0	0
23SH_108M0271_S14.fna	0	23	27	4	0
23SH_113M0067_S13.fna	0	23	27	4	0
23SH_126M0162_S11.fna	0	27	27	0	0
23SH_134M0555_S9.fna	27	0	27	0	0
23SH_139M0292_S8.fna	27	0	27	0	0
23SH_141M0012_S7.fna	0	27	27	0	0
23SH_149M0289_S4.fna	0	23	27	4	0
R100_S34.fna	0	26	27	1	0
R101_S35.fna	0	27	27	0	0
R102_S36.fna	0	27	27	0	0
R103_S1.fna	0	27	27	0	0
R104_S2.fna	0	27	27	0	0
R105_S3.fna	0	27	27	0	0
R151_S1.fna	0	27	27	0	0
R152_S2.fna	0	27	27	0	0
R153_S3.fna	0	27	27	0	0
R154_S4.fna	0	26	27	1	0
R155_S5.fna	0	27	27	0	0
R156_S6.fna	0	27	27	0	0
R157_S7.fna	0	26	27	1	0
R158_S8.fna	0	27	27	0	0
R160_S9.fna	0	26	27	1	0
R161_S10.fna	0	25	27	1	0
R162_S11.fna	0	27	27	0	0
R163_S12.fna	0	27	27	0	0
R164_S13.fna	0	26	27	1	0
R165_S14.fna	0	27	27	0	0
R166_S15.fna	0	26	27	1	0
R167_S16.fna	0	26	27	1	0
R168_S17.fna	0	27	27	0	0
