	23SC_083M0072_S18	R196_S13	R104_S2	R153_S3	R60_S21	R72_S10	R223_S9	R227_S11	R73_S11	R80_S17	R209_S5	R86_S22	R49_S15	R197_S14	R225_S10	R217_S32	R216_S31	R95_S31	R155_S5	R68_S7	R59_S20	R156_S6	R103_S1	R85_S21	R192_S2	23SG_130M0102_S10	R163_S12	R48_S14	R161_S10	R67_S6	R183_S2	23SG_145M0015_S3	R98_S33	R78_S15	R93_S29	R190_S8	R152_S2	R204_S26	R96_S32	R210_S21	R168_S17	R182_S1	R224_S35	R42_S11	R91_S26	R158_S8	R84_S20	R193_S10	R43_S12	R82_S19	R187_S6	R206_S18	R151_S1	R105_S3	R92_S27	R102_S36	R165_S14	R101_S35	R215_S30	R220_S33	23SH_141M0012_S7	23SH_126M0162_S11	R58_S19	R214_S29	R226_S36	R174_S19	R195_S12	23SG_024M0143_S4	23SH_103M0533_S19	R201_S17	R69_S8	R222_S8	R81_S18	R157_S7	R41_S10	R203_S4	R77_S14	R202_S3	R177_S21	R76_S13	23SB_143M0036_S5	R186_S5	23SH_063M0013_S15	R213_S28	R44_S13	23SC_088M0045_S21	R185_S4	R167_S16	R205_S27	R219_S7	R162_S11	23SH_089M0615_S20	R212_S6	R62_S5	R166_S15	R176_S20	R189_S1	R179_S23	R160_S9	R208_S20	23SH_030M2179_S6	23SH_065M0295_S16	R181_S25	R94_S30	R184_S3	R154_S4	R169_S18	R90_S25	R51_S16	R178_S22	R87_S23	R100_S34	23SH_050M1003_S12	R52_S17	R221_S34	23SH_009M1094_S2	23SH_071M0020_S18	23SC_035M0015_S9	23SH_029M0358_S5	23SH_108M0271_S14	23SH_033M1095_S7	23SH_049M0198_S11	23SH_038M1879_S10	23SH_066M0152_S17	23SG_074M0109_S16	23SC_014M0062_S3	R164_S13	23SH_077M0027_S17	R228_S37	R194_S11	23SC_121M0012_S12	23SH_149M0289_S4	23SH_005M1638_S1	23SH_113M0067_S13	R180_S24	R61_S22	R207_S19	R88_S24	R211_S22	R198_S15	R199_S16	23SH_134M0555_S9	23SB_106M0036_S15	R54_S18	R79_S16	23SH_139M0292_S8	R191_S9	R229_S12	R70_S9	23SH_084M0850_S19	23SC_140M0057_S6	23SG_034M0106_S8	23SH_090M0134_S22	23SH_053M1623_S13	R188_S7
23SC_083M0072_S18	0.0	0.008341208	0.0083406268	0.0083406268	0.008340481399999999	0.008340844900000002	0.008342225500000001	0.008340772199999999	0.008340772199999999	0.008340772199999999	0.008340772199999999	0.008340772199999999	0.008340772199999999	0.008340844900000002	0.008340844900000002	0.0083428067	0.0083428067	0.008341280699999998	0.008341280699999998	0.008341861999999999	0.008337483	0.008337483	0.0083374103	0.0083344123	0.008335066200000001	0.008339644399999999	0.0083494372	0.0083269149	0.0083255343	0.0083254616	0.008325388900000001	0.0083261156	0.0083253163	0.0083306844	0.0083306844	0.0083343843	0.008338965	0.008338965	0.008338892300000001	0.008332018399999998	0.008331509899999999	0.008332890499999999	0.0083314372	0.0083307106	0.0083313645	0.008330056700000001	0.008330056700000001	0.008329983999999999	0.0083298386	0.0083298386	0.0083298386	0.008329693199999998	0.008330565299999999	0.0083298386	0.008329184699999999	0.008329184699999999	0.008329112	0.008329112	0.008335617399999998	0.0083363748	0.008340173499999999	0.008339519600000001	0.0083401008	0.0083350575	0.0083350575	0.008334330899999999	0.008337260499999999	0.008328171499999999	0.008328171499999999	0.008335855199999999	0.008335201300000001	0.008336509200000002	0.008335055899999999	0.008335879800000001	0.0083359525	0.0083359525	0.008335807099999998	0.008335637900000002	0.0083363646	0.008337381000000001	0.0083374537	0.0083374537	0.008337308299999999	0.0083378895	0.0083364693	0.0083364693	0.0083363966	0.008343981399999999	0.008343981399999999	0.0083460159	0.008337044299999999	0.008337044299999999	0.008337114699999999	0.008234111500000002	0.008236075500000002	0.0082354216	0.008240553000000001	0.008238317800000002	0.008239100200000002	0.0082338606	0.008229386800000002	0.008614904	0.0086210306	0.0086210306	0.0086172971	0.0086173698	0.008618023700000001	0.008879198799999998	0.0088761293	0.008882142499999999	0.0089597475	0.008958033	0.00895501	0.0091882408	0.0091889918	0.009189099999999999	0.009049876799999999	0.0090492229	0.009049150200000002	0.009051330199999999	0.0090499496	0.0090498769	0.009049150200000002	0.0090498769	0.0090484963	0.009129866600000001	0.0094130843	0.010023513500000001	0.0097382768	0.009734483200000001	0.0097174672	0.009233449300000002	0.0092501158	0.0093793161	0.009136793899999999	0.0076293116	0.007337033000000001	0.0074797681	0.0074797681	0.0072514913	0.0072514913	0.0072514913	0.0072521452	0.0072498612999999995	0.0072447341	0.0072499339	0.007241711400000001	0.0072396769	0.0072396769	0.0072470284	0.0072500142	0.0072601271	0.0064026494	0.0065698941	0.0058464733
R196_S13	0.008341208	0.0	8.719999999999999e-07	8.719999999999999e-07	8.719999999999999e-07	1.3808999999999998e-06	2.7614999999999997e-06	1.3081999999999998e-06	1.3081999999999998e-06	1.3081999999999998e-06	1.3081999999999998e-06	1.3081999999999998e-06	1.3081999999999998e-06	1.3808999999999998e-06	1.3808999999999998e-06	3.3427000000000006e-06	3.3427000000000006e-06	1.8166999999999997e-06	1.8166999999999997e-06	2.3979999999999997e-06	1.00128e-05	1.00128e-05	9.9401e-06	1.89359e-05	1.95898e-05	6.7646e-05	8.03454e-05	6.68157e-05	6.54351e-05	6.53624e-05	6.52897e-05	6.60164e-05	6.52171e-05	7.05852e-05	7.05852e-05	7.42851e-05	0.0001164	0.0001164	0.0001163273	0.00014862639999999998	0.0001481179	0.0001494985	0.00014804519999999998	0.0001473186	0.0001479725	0.00014666469999999999	0.00014666469999999999	0.000146592	0.0001464466	0.0001464466	0.0001464466	0.0001463012	0.0001471733	0.0001464466	0.0001457927	0.0001457927	0.00014572	0.00014572	0.0001522254	0.0001529828	0.0001567815	0.00015612759999999998	0.00015670879999999998	0.0001516655	0.0001516655	0.0001509389	0.0001538685	0.0001447795	0.0001447795	0.0001524632	0.0001518093	0.0001531172	0.0001516639	0.00015248779999999998	0.0001525605	0.0001525605	0.0001524151	0.0001522459	0.0001529726	0.000153989	0.0001540617	0.0001540617	0.0001539163	0.0001544975	0.0001530773	0.0001530773	0.0001530046	0.0001605894	0.0001605894	0.0001626239	0.0001536523	0.0001536523	0.00015372269999999998	0.0054232745	0.0054252385	0.0054245846	0.005429715999999999	0.0054274808	0.0054282632	0.0054230236	0.0054185498	0.007511653	0.007517779600000001	0.007517779600000001	0.0075140461	0.0075141188	0.0075147727	0.0077759477999999995	0.0077728783	0.0077788915	0.007856496499999999	0.007854782	0.007851759	0.0080849898	0.0080857408	0.008085848999999999	0.007946625799999999	0.0079459719	0.0079458992	0.0079480792	0.0079466986	0.007946625899999999	0.0079458992	0.007946625899999999	0.007945245299999999	0.0080266156	0.0083098333	0.0089202625	0.0086350258	0.0086312322	0.008614216199999998	0.0081301983	0.008146864799999999	0.008276065099999999	0.0080335429	0.007282349	0.0077095307999999994	0.0078522659	0.0078522659	0.0081226689	0.0081226689	0.0081226689	0.008123322799999999	0.008121038899999999	0.008115911699999999	0.008121111499999998	0.008112889	0.008110854499999999	0.008110854499999999	0.008118206	0.008121191799999998	0.0081313047	0.00770382	0.0078710647	0.0082614847
R104_S2	0.0083406268	8.719999999999999e-07	0.0	1.454e-07	2.908e-07	7.996999999999999e-07	2.1802999999999997e-06	7.27e-07	7.27e-07	7.27e-07	7.27e-07	7.27e-07	7.27e-07	7.996999999999999e-07	7.996999999999999e-07	2.7615000000000006e-06	2.7615000000000006e-06	1.2354999999999999e-06	1.2354999999999999e-06	1.8168e-06	9.4316e-06	9.4316e-06	9.3589e-06	1.8354700000000002e-05	1.9008600000000003e-05	6.70648e-05	7.97642e-05	6.62345e-05	6.48539e-05	6.47812e-05	6.47085e-05	6.54352e-05	6.46359e-05	7.0004e-05	7.0004e-05	7.37039e-05	0.0001158188	0.0001158188	0.00011574609999999999	0.00014804519999999998	0.0001475367	0.0001489173	0.00014746399999999998	0.0001467374	0.0001473913	0.00014608349999999998	0.00014608349999999998	0.0001460108	0.0001458654	0.0001458654	0.0001458654	0.00014572	0.0001465921	0.0001458654	0.0001452115	0.0001452115	0.0001451388	0.0001451388	0.0001516442	0.0001524016	0.0001562003	0.00015554639999999998	0.00015612759999999998	0.0001510843	0.0001510843	0.0001503577	0.0001532873	0.0001441983	0.0001441983	0.000151882	0.0001512281	0.000152536	0.0001510827	0.00015190659999999998	0.0001519793	0.0001519793	0.0001518339	0.0001516647	0.0001523914	0.0001534078	0.0001534805	0.0001534805	0.0001533351	0.0001539163	0.0001524961	0.0001524961	0.0001524234	0.0001600082	0.0001600082	0.0001620427	0.0001530711	0.0001530711	0.00015314149999999998	0.0054226933	0.0054246573	0.0054240034	0.0054291348	0.0054268996	0.005427682	0.0054224424	0.0054179686	0.0075110718000000005	0.0075171984	0.0075171984	0.0075134649	0.007513537600000001	0.0075141915000000005	0.007775366600000001	0.0077722971	0.0077783103	0.0078559153	0.0078542008	0.0078511778	0.0080844086	0.008085159599999999	0.008085267799999999	0.0079460446	0.0079453907	0.007945318	0.007947498	0.0079461174	0.0079460447	0.007945318	0.0079460447	0.0079446641	0.0080260344	0.0083092521	0.0089196813	0.0086344446	0.008630651	0.008613635	0.0081296171	0.0081462836	0.0082754839	0.0080329617	0.0072817678	0.007708949600000001	0.0078516847	0.0078516847	0.008122087699999999	0.008122087699999999	0.008122087699999999	0.0081227416	0.0081204577	0.0081153305	0.0081205303	0.0081123078	0.0081102733	0.0081102733	0.008117624799999999	0.0081206106	0.0081307235	0.0077032388	0.0078704835	0.0082609035
R153_S3	0.0083406268	8.719999999999999e-07	1.454e-07	0.0	2.908e-07	7.996999999999999e-07	2.1802999999999997e-06	7.27e-07	7.27e-07	7.27e-07	7.27e-07	7.27e-07	7.27e-07	7.996999999999999e-07	7.996999999999999e-07	2.7615000000000006e-06	2.7615000000000006e-06	1.2354999999999999e-06	1.2354999999999999e-06	1.8168e-06	9.4316e-06	9.4316e-06	9.3589e-06	1.8354700000000002e-05	1.9008600000000003e-05	6.70648e-05	7.97642e-05	6.62345e-05	6.48539e-05	6.47812e-05	6.47085e-05	6.54352e-05	6.46359e-05	7.0004e-05	7.0004e-05	7.37039e-05	0.0001158188	0.0001158188	0.00011574609999999999	0.00014804519999999998	0.0001475367	0.0001489173	0.00014746399999999998	0.0001467374	0.0001473913	0.00014608349999999998	0.00014608349999999998	0.0001460108	0.0001458654	0.0001458654	0.0001458654	0.00014572	0.0001465921	0.0001458654	0.0001452115	0.0001452115	0.0001451388	0.0001451388	0.0001516442	0.0001524016	0.0001562003	0.00015554639999999998	0.00015612759999999998	0.0001510843	0.0001510843	0.0001503577	0.0001532873	0.0001441983	0.0001441983	0.000151882	0.0001512281	0.000152536	0.0001510827	0.00015190659999999998	0.0001519793	0.0001519793	0.0001518339	0.0001516647	0.0001523914	0.0001534078	0.0001534805	0.0001534805	0.0001533351	0.0001539163	0.0001524961	0.0001524961	0.0001524234	0.0001600082	0.0001600082	0.0001620427	0.0001530711	0.0001530711	0.00015314149999999998	0.0054226933	0.0054246573	0.0054240034	0.0054291348	0.0054268996	0.005427682	0.0054224424	0.0054179686	0.0075110718000000005	0.0075171984	0.0075171984	0.0075134649	0.007513537600000001	0.0075141915000000005	0.007775366600000001	0.0077722971	0.0077783103	0.0078559153	0.0078542008	0.0078511778	0.0080844086	0.008085159599999999	0.008085267799999999	0.0079460446	0.0079453907	0.007945318	0.007947498	0.0079461174	0.0079460447	0.007945318	0.0079460447	0.0079446641	0.0080260344	0.0083092521	0.0089196813	0.0086344446	0.008630651	0.008613635	0.0081296171	0.0081462836	0.0082754839	0.0080329617	0.0072817678	0.007708949600000001	0.0078516847	0.0078516847	0.008122087699999999	0.008122087699999999	0.008122087699999999	0.0081227416	0.0081204577	0.0081153305	0.0081205303	0.0081123078	0.0081102733	0.0081102733	0.008117624799999999	0.0081206106	0.0081307235	0.0077032388	0.0078704835	0.0082609035
R60_S21	0.008340481399999999	8.719999999999999e-07	2.908e-07	2.908e-07	0.0	6.542999999999999e-07	2.0348999999999998e-06	5.816e-07	5.816e-07	5.816e-07	5.816e-07	5.816e-07	5.816e-07	6.542999999999999e-07	6.542999999999999e-07	2.6161000000000007e-06	2.6161000000000007e-06	1.0900999999999997e-06	1.0900999999999997e-06	1.6713999999999998e-06	9.286200000000001e-06	9.286200000000001e-06	9.2135e-06	1.8209300000000002e-05	1.8863200000000003e-05	6.69194e-05	7.96188e-05	6.60891e-05	6.470850000000001e-05	6.463580000000001e-05	6.45631e-05	6.52898e-05	6.449050000000001e-05	6.985860000000001e-05	6.985860000000001e-05	7.355850000000001e-05	0.0001156734	0.0001156734	0.0001156007	0.0001478998	0.00014739130000000002	0.0001487719	0.0001473186	0.00014659200000000002	0.00014724589999999999	0.0001459381	0.0001459381	0.0001458654	0.00014572	0.00014572	0.00014572	0.0001455746	0.00014644670000000002	0.00014572	0.0001450661	0.0001450661	0.0001449934	0.0001449934	0.00015149880000000002	0.0001522562	0.00015605490000000002	0.000155401	0.0001559822	0.00015093890000000002	0.00015093890000000002	0.00015021229999999998	0.0001531419	0.00014405290000000002	0.00014405290000000002	0.00015173660000000001	0.0001510827	0.0001523906	0.00015093730000000002	0.0001517612	0.00015183390000000002	0.00015183390000000002	0.0001516885	0.00015151930000000002	0.000152246	0.0001532624	0.0001533351	0.0001533351	0.0001531897	0.0001537709	0.0001523507	0.0001523507	0.000152278	0.0001598628	0.0001598628	0.0001618973	0.0001529257	0.0001529257	0.0001529961	0.0054225479	0.0054245119	0.005423858	0.0054289894	0.0054267542	0.0054275365999999995	0.0054222969999999995	0.0054178232	0.0075109264	0.007517053	0.007517053	0.0075133195	0.007513392200000001	0.0075140461	0.007775221200000001	0.0077721516999999995	0.0077781649	0.0078557699	0.0078540554	0.0078510324	0.008084263199999999	0.008085014199999999	0.0080851224	0.0079458992	0.0079452453	0.0079451726	0.0079473526	0.007945971999999999	0.0079458993	0.0079451726	0.0079458993	0.0079445187	0.008025889	0.0083091067	0.0089195359	0.008634299199999999	0.0086305056	0.0086134896	0.0081294717	0.0081461382	0.0082753385	0.0080328163	0.0072816224	0.007708804200000001	0.0078515393	0.0078515393	0.008121942299999999	0.008121942299999999	0.008121942299999999	0.0081225962	0.0081203123	0.0081151851	0.0081203849	0.0081121624	0.0081101279	0.0081101279	0.008117479399999999	0.0081204652	0.008130578099999999	0.0077030933999999995	0.0078703381	0.0082607581
R72_S10	0.008340844900000002	1.3808999999999998e-06	7.996999999999999e-07	7.996999999999999e-07	6.542999999999999e-07	0.0	1.5259999999999999e-06	2.1809999999999997e-07	2.1809999999999997e-07	2.1809999999999997e-07	2.1809999999999997e-07	2.1809999999999997e-07	3.635e-07	4.362e-07	4.362e-07	2.5434e-06	2.5434e-06	1.1628e-06	1.1628e-06	1.8894999999999999e-06	9.6497e-06	9.6497e-06	9.577e-06	1.8572800000000003e-05	1.9226700000000003e-05	6.72829e-05	7.99823e-05	6.645260000000001e-05	6.5072e-05	6.499930000000001e-05	6.492660000000001e-05	6.565330000000001e-05	6.485400000000001e-05	7.022210000000001e-05	7.022210000000001e-05	7.3922e-05	0.00011603690000000001	0.00011603690000000001	0.00011596419999999999	0.0001482633	0.0001477548	0.0001491354	0.0001476821	0.0001469555	0.00014760940000000002	0.0001463016	0.0001463016	0.00014622890000000002	0.0001460835	0.0001460835	0.0001460835	0.0001459381	0.0001468102	0.0001460835	0.00014542960000000002	0.00014542960000000002	0.0001453569	0.0001453569	0.0001518623	0.00015261970000000002	0.0001564184	0.0001557645	0.0001563457	0.0001513024	0.0001513024	0.00015057580000000002	0.0001535054	0.0001444164	0.0001444164	0.0001521001	0.0001514462	0.0001527541	0.0001513008	0.0001521247	0.0001521974	0.0001521974	0.00015205200000000001	0.0001518828	0.0001526095	0.0001536259	0.0001536986	0.0001536986	0.00015355320000000003	0.00015413440000000003	0.0001527142	0.0001527142	0.0001526415	0.00016022630000000001	0.00016022630000000001	0.0001622608	0.0001532892	0.0001532892	0.0001533596	0.0054229114	0.0054248754	0.0054242215	0.0054293529	0.0054271177	0.005427900100000001	0.005422660500000001	0.0054181867	0.007511289900000001	0.007517416500000001	0.007517416500000001	0.007513683000000001	0.0075137557	0.007514409600000001	0.0077755847	0.007772515200000001	0.007778528400000001	0.0078561334	0.0078544189	0.0078513959	0.0080846267	0.008085377699999998	0.0080854859	0.0079462627	0.0079456088	0.007945536100000001	0.0079477161	0.0079463355	0.0079462628	0.007945536100000001	0.0079462628	0.0079448822	0.0080262525	0.0083094702	0.008919899399999999	0.008634662699999998	0.008630869099999999	0.0086138531	0.0081298352	0.008146501700000001	0.008275702000000001	0.0080331798	0.0072819859	0.0077091677	0.007851902800000001	0.007851902800000001	0.0081223058	0.0081223058	0.0081223058	0.0081229597	0.0081206758	0.0081155486	0.008120748399999999	0.0081125259	0.0081104914	0.0081104914	0.0081178429	0.008120828699999999	0.0081309416	0.007703456900000001	0.0078707016	0.0082611216
R223_S9	0.008342225500000001	2.7614999999999997e-06	2.1802999999999997e-06	2.1802999999999997e-06	2.0348999999999998e-06	1.5259999999999999e-06	0.0	1.5986999999999998e-06	1.5986999999999998e-06	1.5986999999999998e-06	1.5986999999999998e-06	1.5986999999999998e-06	1.7440999999999997e-06	1.8167999999999997e-06	1.8167999999999997e-06	3.924e-06	3.924e-06	2.5433999999999997e-06	2.5433999999999997e-06	3.2700999999999994e-06	1.10303e-05	1.10303e-05	1.09576e-05	1.99534e-05	2.0607300000000002e-05	6.86635e-05	8.13629e-05	6.78332e-05	6.645260000000001e-05	6.63799e-05	6.63072e-05	6.70339e-05	6.62346e-05	7.16027e-05	7.16027e-05	7.53026e-05	0.0001174175	0.0001174175	0.0001173448	0.0001496439	0.0001491354	0.000150516	0.0001490627	0.0001483361	0.00014899	0.00014768220000000001	0.00014768220000000001	0.0001476095	0.00014746410000000002	0.00014746410000000002	0.00014746410000000002	0.00014731869999999998	0.0001481908	0.00014746410000000002	0.0001468102	0.0001468102	0.00014673749999999998	0.00014673749999999998	0.0001532429	0.0001540003	0.000157799	0.0001571451	0.0001577263	0.000152683	0.000152683	0.0001519564	0.000154886	0.000145797	0.000145797	0.0001534807	0.0001528268	0.0001541347	0.0001526814	0.0001535053	0.000153578	0.000153578	0.0001534326	0.0001532634	0.0001539901	0.0001550065	0.00015507919999999998	0.00015507919999999998	0.0001549338	0.000155515	0.0001540948	0.0001540948	0.0001540221	0.0001616069	0.0001616069	0.00016364140000000002	0.0001546698	0.0001546698	0.0001547402	0.005424292	0.005426256	0.0054256020999999995	0.0054307335	0.0054284983	0.0054292807000000005	0.005424041100000001	0.0054195673	0.0075126705000000005	0.007518797100000001	0.007518797100000001	0.007515063600000001	0.0075151363	0.0075157902000000006	0.0077769653	0.0077738958000000006	0.007779909000000001	0.007857514	0.0078557995	0.0078527765	0.0080860073	0.008086758299999998	0.0080868665	0.0079476433	0.0079469894	0.0079469167	0.0079490967	0.0079477161	0.0079476434	0.0079469167	0.0079476434	0.0079462628	0.0080276331	0.0083108508	0.008921279999999998	0.008636043299999998	0.008632249699999999	0.0086152337	0.0081312158	0.008147882300000001	0.008277082600000001	0.0080345604	0.0072833665	0.0077105483	0.007853283400000001	0.007853283400000001	0.0081236864	0.0081236864	0.0081236864	0.0081243403	0.0081220564	0.0081169292	0.008122128999999999	0.0081139065	0.008111872	0.008111872	0.0081192235	0.008122209299999999	0.0081323222	0.007704837500000001	0.0078720822	0.0082625022
R227_S11	0.008340772199999999	1.3081999999999998e-06	7.27e-07	7.27e-07	5.816e-07	2.1809999999999997e-07	1.5986999999999998e-06	0.0	0.0	0.0	0.0	0.0	2.908e-07	3.635e-07	3.635e-07	2.4707e-06	2.4707e-06	1.0901e-06	1.0901e-06	1.8168e-06	9.577e-06	9.577e-06	9.5043e-06	1.8500100000000003e-05	1.9154000000000003e-05	6.72102e-05	7.990960000000001e-05	6.63799e-05	6.499930000000001e-05	6.492660000000001e-05	6.48539e-05	6.558060000000001e-05	6.478130000000001e-05	7.014940000000001e-05	7.014940000000001e-05	7.384930000000001e-05	0.0001159642	0.0001159642	0.0001158915	0.00014819060000000002	0.0001476821	0.0001490627	0.00014760940000000002	0.0001468828	0.0001475367	0.00014622890000000002	0.00014622890000000002	0.0001461562	0.00014601080000000002	0.00014601080000000002	0.00014601080000000002	0.0001458654	0.0001467375	0.00014601080000000002	0.0001453569	0.0001453569	0.0001452842	0.0001452842	0.0001517896	0.000152547	0.0001563457	0.0001556918	0.000156273	0.0001512297	0.0001512297	0.0001505031	0.0001534327	0.0001443437	0.0001443437	0.0001520274	0.0001513735	0.0001526814	0.0001512281	0.00015205200000000001	0.0001521247	0.0001521247	0.0001519793	0.0001518101	0.0001525368	0.0001535532	0.0001536259	0.0001536259	0.0001534805	0.0001540617	0.0001526415	0.0001526415	0.0001525688	0.0001601536	0.0001601536	0.00016218810000000002	0.0001532165	0.0001532165	0.00015328690000000002	0.0054228387	0.0054248027	0.0054241488000000004	0.0054292802	0.005427045	0.0054278274	0.0054225878	0.005418114	0.007511217200000001	0.0075173438	0.0075173438	0.0075136103	0.007513683000000001	0.007514336900000001	0.007775512000000001	0.0077724425	0.0077784557	0.0078560607	0.0078543462	0.0078513232	0.008084553999999999	0.008085305	0.0080854132	0.00794619	0.007945536100000001	0.0079454634	0.007947643400000001	0.0079462628	0.0079461901	0.0079454634	0.0079461901	0.0079448095	0.0080261798	0.008309397500000001	0.0089198267	0.00863459	0.0086307964	0.0086137804	0.0081297625	0.008146429	0.0082756293	0.0080331071	0.0072819132	0.007709095000000001	0.0078518301	0.0078518301	0.0081222331	0.0081222331	0.0081222331	0.008122887	0.0081206031	0.0081154759	0.0081206757	0.0081124532	0.0081104187	0.0081104187	0.008117770199999999	0.008120756	0.0081308689	0.0077033842	0.007870628900000001	0.0082610489
R73_S11	0.008340772199999999	1.3081999999999998e-06	7.27e-07	7.27e-07	5.816e-07	2.1809999999999997e-07	1.5986999999999998e-06	0.0	0.0	0.0	0.0	0.0	2.908e-07	3.635e-07	3.635e-07	2.4707e-06	2.4707e-06	1.0901e-06	1.0901e-06	1.8168e-06	9.577e-06	9.577e-06	9.5043e-06	1.8500100000000003e-05	1.9154000000000003e-05	6.72102e-05	7.990960000000001e-05	6.63799e-05	6.499930000000001e-05	6.492660000000001e-05	6.48539e-05	6.558060000000001e-05	6.478130000000001e-05	7.014940000000001e-05	7.014940000000001e-05	7.384930000000001e-05	0.0001159642	0.0001159642	0.0001158915	0.00014819060000000002	0.0001476821	0.0001490627	0.00014760940000000002	0.0001468828	0.0001475367	0.00014622890000000002	0.00014622890000000002	0.0001461562	0.00014601080000000002	0.00014601080000000002	0.00014601080000000002	0.0001458654	0.0001467375	0.00014601080000000002	0.0001453569	0.0001453569	0.0001452842	0.0001452842	0.0001517896	0.000152547	0.0001563457	0.0001556918	0.000156273	0.0001512297	0.0001512297	0.0001505031	0.0001534327	0.0001443437	0.0001443437	0.0001520274	0.0001513735	0.0001526814	0.0001512281	0.00015205200000000001	0.0001521247	0.0001521247	0.0001519793	0.0001518101	0.0001525368	0.0001535532	0.0001536259	0.0001536259	0.0001534805	0.0001540617	0.0001526415	0.0001526415	0.0001525688	0.0001601536	0.0001601536	0.00016218810000000002	0.0001532165	0.0001532165	0.00015328690000000002	0.0054228387	0.0054248027	0.0054241488000000004	0.0054292802	0.005427045	0.0054278274	0.0054225878	0.005418114	0.007511217200000001	0.0075173438	0.0075173438	0.0075136103	0.007513683000000001	0.007514336900000001	0.007775512000000001	0.0077724425	0.0077784557	0.0078560607	0.0078543462	0.0078513232	0.008084553999999999	0.008085305	0.0080854132	0.00794619	0.007945536100000001	0.0079454634	0.007947643400000001	0.0079462628	0.0079461901	0.0079454634	0.0079461901	0.0079448095	0.0080261798	0.008309397500000001	0.0089198267	0.00863459	0.0086307964	0.0086137804	0.0081297625	0.008146429	0.0082756293	0.0080331071	0.0072819132	0.007709095000000001	0.0078518301	0.0078518301	0.0081222331	0.0081222331	0.0081222331	0.008122887	0.0081206031	0.0081154759	0.0081206757	0.0081124532	0.0081104187	0.0081104187	0.008117770199999999	0.008120756	0.0081308689	0.0077033842	0.007870628900000001	0.0082610489
R80_S17	0.008340772199999999	1.3081999999999998e-06	7.27e-07	7.27e-07	5.816e-07	2.1809999999999997e-07	1.5986999999999998e-06	0.0	0.0	0.0	0.0	0.0	2.908e-07	3.635e-07	3.635e-07	2.4707e-06	2.4707e-06	1.0901e-06	1.0901e-06	1.8168e-06	9.577e-06	9.577e-06	9.5043e-06	1.8500100000000003e-05	1.9154000000000003e-05	6.72102e-05	7.990960000000001e-05	6.63799e-05	6.499930000000001e-05	6.492660000000001e-05	6.48539e-05	6.558060000000001e-05	6.478130000000001e-05	7.014940000000001e-05	7.014940000000001e-05	7.384930000000001e-05	0.0001159642	0.0001159642	0.0001158915	0.00014819060000000002	0.0001476821	0.0001490627	0.00014760940000000002	0.0001468828	0.0001475367	0.00014622890000000002	0.00014622890000000002	0.0001461562	0.00014601080000000002	0.00014601080000000002	0.00014601080000000002	0.0001458654	0.0001467375	0.00014601080000000002	0.0001453569	0.0001453569	0.0001452842	0.0001452842	0.0001517896	0.000152547	0.0001563457	0.0001556918	0.000156273	0.0001512297	0.0001512297	0.0001505031	0.0001534327	0.0001443437	0.0001443437	0.0001520274	0.0001513735	0.0001526814	0.0001512281	0.00015205200000000001	0.0001521247	0.0001521247	0.0001519793	0.0001518101	0.0001525368	0.0001535532	0.0001536259	0.0001536259	0.0001534805	0.0001540617	0.0001526415	0.0001526415	0.0001525688	0.0001601536	0.0001601536	0.00016218810000000002	0.0001532165	0.0001532165	0.00015328690000000002	0.0054228387	0.0054248027	0.0054241488000000004	0.0054292802	0.005427045	0.0054278274	0.0054225878	0.005418114	0.007511217200000001	0.0075173438	0.0075173438	0.0075136103	0.007513683000000001	0.007514336900000001	0.007775512000000001	0.0077724425	0.0077784557	0.0078560607	0.0078543462	0.0078513232	0.008084553999999999	0.008085305	0.0080854132	0.00794619	0.007945536100000001	0.0079454634	0.007947643400000001	0.0079462628	0.0079461901	0.0079454634	0.0079461901	0.0079448095	0.0080261798	0.008309397500000001	0.0089198267	0.00863459	0.0086307964	0.0086137804	0.0081297625	0.008146429	0.0082756293	0.0080331071	0.0072819132	0.007709095000000001	0.0078518301	0.0078518301	0.0081222331	0.0081222331	0.0081222331	0.008122887	0.0081206031	0.0081154759	0.0081206757	0.0081124532	0.0081104187	0.0081104187	0.008117770199999999	0.008120756	0.0081308689	0.0077033842	0.007870628900000001	0.0082610489
